InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice
INV00001,95128,Bakso,1,02/18/2025 00:00,18.0
INV00001,32848,Soto Ayam,3,02/18/2025 00:00,20.0
INV00001,45618,Mie Ayam,2,02/18/2025 00:00,15.0
INV00001,43091,Jus Alpukat,2,02/18/2025 00:00,10.0
INV00002,24568,Bakso,2,02/25/2025 00:00,18.0
INV00002,15542,Nasi Goreng,2,02/25/2025 00:00,20.0
INV00003,48830,Soto Ayam,1,02/01/2025 00:00,20.0
INV00004,98733,Ayam Geprek,3,02/06/2025 00:00,22.0
INV00004,57664,Sate Ayam,1,02/06/2025 00:00,25.0
INV00004,14346,Soto Ayam,2,02/06/2025 00:00,20.0
INV00005,41350,Nasi Goreng,2,03/15/2025 00:00,20.0
INV00005,53861,Ayam Geprek,2,03/15/2025 00:00,22.0
INV00006,77417,Mie Ayam,3,03/26/2025 00:00,15.0
INV00007,31087,Kopi Susu,3,03/02/2025 00:00,12.0
INV00007,30721,Sate Ayam,1,03/02/2025 00:00,25.0
INV00007,72726,Bakso,1,03/02/2025 00:00,18.0
INV00007,68728,Soto Ayam,1,03/02/2025 00:00,20.0
INV00008,73521,Bakso,1,03/13/2025 00:00,18.0
INV00009,48898,Soto Ayam,3,02/26/2025 00:00,20.0
INV00009,61247,Kopi Susu,1,02/26/2025 00:00,12.0
INV00009,99163,Nasi Goreng,1,02/26/2025 00:00,20.0
INV00010,79994,Soto Ayam,1,02/01/2025 00:00,20.0
INV00011,61535,Bakso,2,02/16/2025 00:00,18.0
INV00011,17010,Rendang,2,02/16/2025 00:00,30.0
INV00012,30560,Nasi Goreng,2,02/21/2025 00:00,20.0
INV00012,70714,Jus Alpukat,3,02/21/2025 00:00,10.0
INV00013,12923,Es Teh,1,02/19/2025 00:00,5.0
INV00013,49939,Kopi Susu,2,02/19/2025 00:00,12.0
INV00014,73560,Nasi Goreng,2,02/06/2025 00:00,20.0
INV00014,58563,Jus Alpukat,1,02/06/2025 00:00,10.0
INV00015,13359,Es Teh,3,03/26/2025 00:00,5.0
INV00015,65569,Rendang,1,03/26/2025 00:00,30.0
INV00015,19288,Jus Alpukat,2,03/26/2025 00:00,10.0
INV00015,31080,Bakso,2,03/26/2025 00:00,18.0
INV00016,37554,Bakso,3,03/14/2025 00:00,18.0
INV00016,10552,Mie Ayam,2,03/14/2025 00:00,15.0
INV00016,77552,Jus Alpukat,3,03/14/2025 00:00,10.0
INV00016,93053,Ayam Geprek,3,03/14/2025 00:00,22.0
INV00016,56312,Soto Ayam,1,03/14/2025 00:00,20.0
INV00017,77085,Ayam Geprek,1,03/15/2025 00:00,22.0
INV00017,84663,Es Teh,1,03/15/2025 00:00,5.0
INV00017,25771,Jus Alpukat,1,03/15/2025 00:00,10.0
INV00018,65633,Kopi Susu,2,02/13/2025 00:00,12.0
INV00019,21856,Soto Ayam,2,03/09/2025 00:00,20.0
INV00019,40740,Kopi Susu,1,03/09/2025 00:00,12.0
INV00020,80987,Mie Ayam,1,02/28/2025 00:00,15.0
INV00020,27195,Bakso,2,02/28/2025 00:00,18.0
INV00021,10485,Ayam Geprek,1,02/24/2025 00:00,22.0
INV00021,18863,Rendang,2,02/24/2025 00:00,30.0
INV00021,53848,Kopi Susu,1,02/24/2025 00:00,12.0
INV00021,84280,Es Teh,2,02/24/2025 00:00,5.0
INV00022,56557,Mie Ayam,1,03/22/2025 00:00,15.0
INV00023,89046,Es Teh,2,02/09/2025 00:00,5.0
INV00024,88180,Mie Ayam,3,03/20/2025 00:00,15.0
INV00025,58869,Nasi Goreng,1,03/24/2025 00:00,20.0
INV00025,74463,Mie Ayam,1,03/24/2025 00:00,15.0
INV00026,67052,Jus Alpukat,3,02/09/2025 00:00,10.0
INV00026,73873,Nasi Goreng,2,02/09/2025 00:00,20.0
INV00026,49118,Mie Ayam,2,02/09/2025 00:00,15.0
INV00026,80582,Ayam Geprek,2,02/09/2025 00:00,22.0
INV00027,98823,Nasi Goreng,2,03/16/2025 00:00,20.0
INV00027,37763,Kopi Susu,3,03/16/2025 00:00,12.0
INV00027,78897,Ayam Geprek,1,03/16/2025 00:00,22.0
INV00027,32635,Soto Ayam,2,03/16/2025 00:00,20.0
INV00028,94537,Sate Ayam,2,02/06/2025 00:00,25.0
INV00029,81985,Kopi Susu,1,02/28/2025 00:00,12.0
INV00030,19246,Bakso,1,02/15/2025 00:00,18.0
INV00030,58971,Sate Ayam,3,02/15/2025 00:00,25.0
INV00031,52354,Mie Ayam,1,02/12/2025 00:00,15.0
INV00031,92340,Bakso,2,02/12/2025 00:00,18.0
INV00032,68948,Es Teh,1,03/13/2025 00:00,5.0
INV00032,95774,Nasi Goreng,2,03/13/2025 00:00,20.0
INV00033,88100,Sate Ayam,2,02/08/2025 00:00,25.0
INV00033,41304,Nasi Goreng,1,02/08/2025 00:00,20.0
INV00033,38321,Jus Alpukat,1,02/08/2025 00:00,10.0
INV00033,45028,Ayam Geprek,1,02/08/2025 00:00,22.0
INV00034,38180,Kopi Susu,1,02/19/2025 00:00,12.0
INV00034,68922,Rendang,3,02/19/2025 00:00,30.0
INV00034,74376,Es Teh,2,02/19/2025 00:00,5.0
INV00034,80437,Soto Ayam,2,02/19/2025 00:00,20.0
INV00035,72191,Soto Ayam,2,02/08/2025 00:00,20.0
INV00036,63774,Jus Alpukat,2,02/19/2025 00:00,10.0
INV00036,17597,Nasi Goreng,3,02/19/2025 00:00,20.0
INV00037,68654,Mie Ayam,3,03/21/2025 00:00,15.0
INV00037,72327,Soto Ayam,2,03/21/2025 00:00,20.0
INV00037,25350,Es Teh,1,03/21/2025 00:00,5.0
INV00037,17695,Jus Alpukat,2,03/21/2025 00:00,10.0
INV00038,95395,Nasi Goreng,1,02/20/2025 00:00,20.0
INV00038,71607,Sate Ayam,3,02/20/2025 00:00,25.0
INV00038,37079,Es Teh,1,02/20/2025 00:00,5.0
INV00038,60118,Rendang,2,02/20/2025 00:00,30.0
INV00038,35439,Jus Alpukat,2,02/20/2025 00:00,10.0
INV00039,23068,Soto Ayam,1,02/10/2025 00:00,20.0
INV00039,79838,Rendang,3,02/10/2025 00:00,30.0
INV00039,14558,Ayam Geprek,2,02/10/2025 00:00,22.0
INV00039,39291,Nasi Goreng,2,02/10/2025 00:00,20.0
INV00040,91122,Ayam Geprek,2,02/26/2025 00:00,22.0
INV00041,10312,Jus Alpukat,1,02/28/2025 00:00,10.0
INV00041,51263,Sate Ayam,1,02/28/2025 00:00,25.0
INV00042,36743,Rendang,1,03/28/2025 00:00,30.0
INV00042,54012,Mie Ayam,3,03/28/2025 00:00,15.0
INV00042,15477,Jus Alpukat,1,03/28/2025 00:00,10.0
INV00043,40034,Mie Ayam,3,02/20/2025 00:00,15.0
INV00043,28494,Sate Ayam,3,02/20/2025 00:00,25.0
INV00043,32406,Kopi Susu,3,02/20/2025 00:00,12.0
INV00043,59342,Rendang,2,02/20/2025 00:00,30.0
INV00044,75981,Bakso,1,02/25/2025 00:00,18.0
INV00044,63379,Ayam Geprek,1,02/25/2025 00:00,22.0
INV00044,42036,Soto Ayam,3,02/25/2025 00:00,20.0
INV00045,35237,Bakso,1,02/14/2025 00:00,18.0
INV00045,41219,Sate Ayam,2,02/14/2025 00:00,25.0
INV00045,64181,Kopi Susu,2,02/14/2025 00:00,12.0
INV00045,17111,Nasi Goreng,3,02/14/2025 00:00,20.0
INV00046,64379,Jus Alpukat,1,02/03/2025 00:00,10.0
INV00046,27087,Nasi Goreng,2,02/03/2025 00:00,20.0
INV00046,20925,Ayam Geprek,2,02/03/2025 00:00,22.0
INV00047,69511,Ayam Geprek,3,02/18/2025 00:00,22.0
INV00047,55691,Soto Ayam,3,02/18/2025 00:00,20.0
INV00047,59490,Es Teh,3,02/18/2025 00:00,5.0
INV00047,96991,Sate Ayam,2,02/18/2025 00:00,25.0
INV00047,71766,Rendang,1,02/18/2025 00:00,30.0
INV00048,51300,Mie Ayam,3,03/04/2025 00:00,15.0
INV00048,50183,Es Teh,1,03/04/2025 00:00,5.0
INV00049,67796,Ayam Geprek,3,02/17/2025 00:00,22.0
INV00050,81593,Mie Ayam,2,03/03/2025 00:00,15.0
INV00050,31154,Nasi Goreng,3,03/03/2025 00:00,20.0
INV00050,58065,Sate Ayam,1,03/03/2025 00:00,25.0
INV00050,84215,Kopi Susu,3,03/03/2025 00:00,12.0
INV00051,97261,Sate Ayam,2,02/09/2025 00:00,25.0
INV00051,71630,Rendang,3,02/09/2025 00:00,30.0
INV00052,45833,Bakso,3,03/24/2025 00:00,18.0
INV00052,71250,Ayam Geprek,2,03/24/2025 00:00,22.0
INV00052,24826,Kopi Susu,1,03/24/2025 00:00,12.0
INV00052,29642,Soto Ayam,3,03/24/2025 00:00,20.0
INV00052,38063,Mie Ayam,1,03/24/2025 00:00,15.0
INV00053,28796,Mie Ayam,1,03/04/2025 00:00,15.0
INV00054,93285,Kopi Susu,2,03/21/2025 00:00,12.0
INV00054,53893,Rendang,3,03/21/2025 00:00,30.0
INV00054,47741,Soto Ayam,3,03/21/2025 00:00,20.0
INV00055,62422,Mie Ayam,3,02/16/2025 00:00,15.0
INV00055,54670,Es Teh,3,02/16/2025 00:00,5.0
INV00055,71725,Soto Ayam,3,02/16/2025 00:00,20.0
INV00055,97096,Rendang,3,02/16/2025 00:00,30.0
INV00056,57392,Rendang,2,02/02/2025 00:00,30.0
INV00056,70924,Jus Alpukat,1,02/02/2025 00:00,10.0
INV00056,84829,Bakso,1,02/02/2025 00:00,18.0
INV00056,30380,Mie Ayam,2,02/02/2025 00:00,15.0
INV00057,86025,Nasi Goreng,3,03/28/2025 00:00,20.0
INV00057,32943,Mie Ayam,1,03/28/2025 00:00,15.0
INV00057,38152,Kopi Susu,3,03/28/2025 00:00,12.0
INV00057,80744,Bakso,1,03/28/2025 00:00,18.0
INV00058,38002,Sate Ayam,2,02/13/2025 00:00,25.0
INV00059,40880,Rendang,1,02/24/2025 00:00,30.0
INV00059,58458,Es Teh,1,02/24/2025 00:00,5.0
INV00059,84628,Soto Ayam,1,02/24/2025 00:00,20.0
INV00059,19015,Sate Ayam,2,02/24/2025 00:00,25.0
INV00060,46888,Es Teh,2,02/28/2025 00:00,5.0
INV00060,26135,Jus Alpukat,3,02/28/2025 00:00,10.0
INV00060,75337,Nasi Goreng,1,02/28/2025 00:00,20.0
INV00060,70205,Rendang,2,02/28/2025 00:00,30.0
INV00061,85476,Rendang,2,03/06/2025 00:00,30.0
INV00061,11066,Mie Ayam,3,03/06/2025 00:00,15.0
INV00061,35274,Es Teh,1,03/06/2025 00:00,5.0
INV00061,44124,Sate Ayam,1,03/06/2025 00:00,25.0
INV00061,70402,Jus Alpukat,3,03/06/2025 00:00,10.0
INV00062,37087,Es Teh,3,02/02/2025 00:00,5.0
INV00062,96210,Kopi Susu,2,02/02/2025 00:00,12.0
INV00062,96820,Rendang,2,02/02/2025 00:00,30.0
INV00062,29889,Ayam Geprek,1,02/02/2025 00:00,22.0
INV00063,83726,Ayam Geprek,1,03/26/2025 00:00,22.0
INV00063,90533,Jus Alpukat,1,03/26/2025 00:00,10.0
INV00063,95620,Mie Ayam,3,03/26/2025 00:00,15.0
INV00063,36104,Soto Ayam,2,03/26/2025 00:00,20.0
INV00063,27126,Rendang,3,03/26/2025 00:00,30.0
INV00064,33981,Es Teh,3,03/16/2025 00:00,5.0
INV00064,73266,Kopi Susu,1,03/16/2025 00:00,12.0
INV00065,99553,Soto Ayam,3,02/05/2025 00:00,20.0
INV00065,34394,Bakso,3,02/05/2025 00:00,18.0
INV00065,33504,Mie Ayam,3,02/05/2025 00:00,15.0
INV00065,11570,Kopi Susu,3,02/05/2025 00:00,12.0
INV00066,95617,Es Teh,3,02/08/2025 00:00,5.0
INV00066,14382,Nasi Goreng,3,02/08/2025 00:00,20.0
INV00066,90729,Bakso,3,02/08/2025 00:00,18.0
INV00066,52195,Soto Ayam,2,02/08/2025 00:00,20.0
INV00066,43284,Rendang,2,02/08/2025 00:00,30.0
INV00067,14851,Ayam Geprek,2,03/19/2025 00:00,22.0
INV00067,53612,Kopi Susu,1,03/19/2025 00:00,12.0
INV00068,53971,Bakso,2,02/17/2025 00:00,18.0
INV00069,31880,Nasi Goreng,1,02/25/2025 00:00,20.0
INV00070,70859,Bakso,3,02/23/2025 00:00,18.0
INV00070,87147,Mie Ayam,2,02/23/2025 00:00,15.0
INV00070,96303,Sate Ayam,3,02/23/2025 00:00,25.0
INV00070,73423,Jus Alpukat,3,02/23/2025 00:00,10.0
INV00071,31461,Soto Ayam,2,02/26/2025 00:00,20.0
INV00071,70659,Rendang,3,02/26/2025 00:00,30.0
INV00071,92863,Mie Ayam,1,02/26/2025 00:00,15.0
INV00071,23049,Kopi Susu,2,02/26/2025 00:00,12.0
INV00071,32229,Bakso,3,02/26/2025 00:00,18.0
INV00072,79294,Bakso,2,02/05/2025 00:00,18.0
INV00072,60444,Soto Ayam,2,02/05/2025 00:00,20.0
INV00072,75260,Sate Ayam,3,02/05/2025 00:00,25.0
INV00073,95993,Sate Ayam,3,03/31/2025 00:00,25.0
INV00073,72100,Kopi Susu,3,03/31/2025 00:00,12.0
INV00073,88076,Jus Alpukat,2,03/31/2025 00:00,10.0
INV00073,88934,Ayam Geprek,1,03/31/2025 00:00,22.0
INV00074,62918,Mie Ayam,2,03/21/2025 00:00,15.0
INV00075,49313,Jus Alpukat,2,03/30/2025 00:00,10.0
INV00075,96242,Sate Ayam,1,03/30/2025 00:00,25.0
INV00075,24637,Nasi Goreng,3,03/30/2025 00:00,20.0
INV00075,14080,Es Teh,1,03/30/2025 00:00,5.0
INV00075,79767,Kopi Susu,3,03/30/2025 00:00,12.0
INV00076,56555,Rendang,3,03/22/2025 00:00,30.0
INV00076,45922,Bakso,1,03/22/2025 00:00,18.0
INV00077,31050,Sate Ayam,2,03/25/2025 00:00,25.0
INV00077,68894,Bakso,2,03/25/2025 00:00,18.0
INV00078,12670,Rendang,2,03/16/2025 00:00,30.0
INV00078,65574,Sate Ayam,1,03/16/2025 00:00,25.0
INV00078,71410,Nasi Goreng,1,03/16/2025 00:00,20.0
INV00079,22694,Jus Alpukat,1,02/21/2025 00:00,10.0
INV00079,55996,Sate Ayam,2,02/21/2025 00:00,25.0
INV00080,76448,Soto Ayam,1,02/21/2025 00:00,20.0
INV00080,28668,Jus Alpukat,3,02/21/2025 00:00,10.0
INV00081,73043,Bakso,1,03/22/2025 00:00,18.0
INV00081,61580,Rendang,1,03/22/2025 00:00,30.0
INV00081,84569,Nasi Goreng,3,03/22/2025 00:00,20.0
INV00081,27498,Soto Ayam,3,03/22/2025 00:00,20.0
INV00082,50431,Sate Ayam,2,02/27/2025 00:00,25.0
INV00083,47500,Bakso,1,02/10/2025 00:00,18.0
INV00084,60242,Nasi Goreng,1,02/28/2025 00:00,20.0
INV00084,37808,Jus Alpukat,2,02/28/2025 00:00,10.0
INV00084,52674,Soto Ayam,2,02/28/2025 00:00,20.0
INV00085,55198,Mie Ayam,2,02/23/2025 00:00,15.0
INV00085,72748,Nasi Goreng,1,02/23/2025 00:00,20.0
INV00085,46275,Es Teh,1,02/23/2025 00:00,5.0
INV00085,22170,Bakso,3,02/23/2025 00:00,18.0
INV00085,93055,Sate Ayam,1,02/23/2025 00:00,25.0
INV00086,99880,Sate Ayam,1,02/28/2025 00:00,25.0
INV00087,83472,Ayam Geprek,1,02/15/2025 00:00,22.0
INV00087,27157,Bakso,2,02/15/2025 00:00,18.0
INV00087,83403,Jus Alpukat,2,02/15/2025 00:00,10.0
INV00088,76299,Jus Alpukat,1,02/24/2025 00:00,10.0
INV00089,25553,Mie Ayam,1,02/02/2025 00:00,15.0
INV00089,31889,Nasi Goreng,1,02/02/2025 00:00,20.0
INV00089,37967,Kopi Susu,2,02/02/2025 00:00,12.0
INV00090,36822,Kopi Susu,2,03/05/2025 00:00,12.0
INV00090,32736,Mie Ayam,1,03/05/2025 00:00,15.0
INV00090,83247,Rendang,1,03/05/2025 00:00,30.0
INV00091,54681,Bakso,2,02/04/2025 00:00,18.0
INV00092,96346,Soto Ayam,1,02/25/2025 00:00,20.0
INV00092,53808,Nasi Goreng,2,02/25/2025 00:00,20.0
INV00092,94755,Ayam Geprek,3,02/25/2025 00:00,22.0
INV00092,45851,Jus Alpukat,1,02/25/2025 00:00,10.0
INV00093,57668,Bakso,3,02/21/2025 00:00,18.0
INV00093,86615,Nasi Goreng,3,02/21/2025 00:00,20.0
INV00093,15671,Jus Alpukat,2,02/21/2025 00:00,10.0
INV00094,68598,Kopi Susu,2,02/08/2025 00:00,12.0
INV00095,78609,Ayam Geprek,3,02/08/2025 00:00,22.0
INV00095,66750,Soto Ayam,2,02/08/2025 00:00,20.0
INV00096,87065,Kopi Susu,3,03/30/2025 00:00,12.0
INV00096,83773,Bakso,2,03/30/2025 00:00,18.0
INV00096,57495,Sate Ayam,2,03/30/2025 00:00,25.0
INV00096,26818,Jus Alpukat,1,03/30/2025 00:00,10.0
INV00097,74674,Nasi Goreng,2,02/24/2025 00:00,20.0
INV00097,89019,Bakso,1,02/24/2025 00:00,18.0
INV00098,68104,Bakso,3,02/06/2025 00:00,18.0
INV00098,53821,Soto Ayam,2,02/06/2025 00:00,20.0
INV00099,94985,Rendang,3,02/08/2025 00:00,30.0
INV00099,13460,Sate Ayam,3,02/08/2025 00:00,25.0
INV00099,21193,Mie Ayam,1,02/08/2025 00:00,15.0
INV00099,82024,Jus Alpukat,1,02/08/2025 00:00,10.0
INV00100,22239,Nasi Goreng,1,03/22/2025 00:00,20.0
INV00100,18634,Sate Ayam,2,03/22/2025 00:00,25.0
INV00100,55714,Bakso,2,03/22/2025 00:00,18.0
INV00101,65848,Bakso,2,03/21/2025 00:00,18.0
INV00102,84862,Ayam Geprek,3,03/15/2025 00:00,22.0
INV00103,92205,Mie Ayam,3,02/07/2025 00:00,15.0
INV00104,30289,Ayam Geprek,3,02/19/2025 00:00,22.0
INV00104,22785,Es Teh,2,02/19/2025 00:00,5.0
INV00104,99881,Soto Ayam,3,02/19/2025 00:00,20.0
INV00105,93943,Mie Ayam,2,03/15/2025 00:00,15.0
